trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
266,False,"{'a': 0.5, 'e': 0.4948722204034305}",25,10,12.71201154873529,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.01768685528840119}",25,16,15.549253542870076,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.4638288688518717}",30,0,-75.2998760234985,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
269,False,"{'a': 0.5, 'e': 0.8317831092998796}",20,0,-86.98101220265315,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
270,False,"{'a': 0.5, 'e': 0.9960878351411849}",30,0,-191.85246508202732,"{0: 15, 1: 2, 2: 10, 3: 1, 4: 2}",0
271,False,"{'a': 0.5, 'e': 0.916515519162193}",20,0,-59.592552350595625,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
272,False,"{'a': 0.5, 'e': 0.6125482394960996}",25,0,-69.134331809026,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",1
273,False,"{'a': 0.5, 'e': 0.15860778743465642}",25,20,11.417145795922616,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.33416538263076073}",30,4,-0.16584548401804788,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.7451232126030157}",20,0,-85.5737794721428,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
276,False,"{'a': 0.5, 'e': 0.9736488930495181}",20,8,-30.997686100287876,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
277,False,"{'a': 0.5, 'e': 0.9637913672852274}",20,0,-14.829895226819065,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
278,False,"{'a': 0.5, 'e': 0.717964101410472}",20,0,-8.722842441281522,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
279,False,"{'a': 0.5, 'e': 0.2963541836370153}",20,0,27.38834750151606,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
280,False,"{'a': 0.5, 'e': 0.19781357400426822}",20,11,16.221612037678366,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.6435496697397284}",30,19,-22.227076141171437,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.9317223617435201}",20,3,-57.998676637883115,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
283,False,"{'a': 0.5, 'e': 0.9917769246391254}",30,0,-309.96254905021175,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 5}",0
284,False,"{'a': 0.5, 'e': 0.8090099069535975}",25,0,-150.06772706968675,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
285,False,"{'a': 0.5, 'e': 0.428169048838935}",25,0,-22.597824200957547,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
286,False,"{'a': 0.5, 'e': 0.05750252534912421}",20,13,11.86462074536492,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.529095475861036}",25,0,-73.47676047086522,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
288,False,"{'a': 0.5, 'e': 0.8711474010323434}",20,6,-90.02970867750996,"{0: 7, 1: 0, 2: 6, 3: 0, 4: 1}",1
289,False,"{'a': 0.5, 'e': 0.9999120601031718}",20,0,-100.00004274900485,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
290,False,"{'a': 0.5, 'e': 0.8838633737085002}",20,0,-58.50728976691344,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
291,False,"{'a': 0.5, 'e': 0.5514141076171752}",20,3,-51.00487762532179,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.08395943674184847}",20,13,14.500151148204624,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.40405143243560715}",25,11,-17.37866847951753,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.7931364191664784}",25,0,-21.587382688883462,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
295,False,"{'a': 0.5, 'e': 0.988033948885742}",35,0,-220.451557858693,"{0: 21, 1: 4, 2: 6, 3: 0, 4: 4}",0
296,False,"{'a': 0.5, 'e': 0.9410263090291437}",20,0,-26.113334404792187,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
297,False,"{'a': 0.5, 'e': 0.6636226092823331}",20,10,3.6800907332315624,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.22374095013558368}",35,12,-47.53177489390213,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 1}",1
299,False,"{'a': 0.5, 'e': 0.2709202968427898}",25,7,7.823611513917947,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.6992508064783751}",20,9,19.058661196230055,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.9563803314636136}",20,4,-87.54645911472252,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 1}",1
302,False,"{'a': 0.5, 'e': 0.9793545963764285}",20,0,-123.47946684777857,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
